nm,HL,LL,HL_UB,HL_LB,LL_UB,LL_LB
606,1.64E-09,5.31E-09,1.6944E-09,1.58367E-09,5.50053E-09,5.12508E-09
607,1.69E-09,5.53E-09,1.74158E-09,1.64219E-09,5.74651E-09,5.31328E-09
608,1.74E-09,5.75E-09,1.79191E-09,1.69797E-09,5.99622E-09,5.49953E-09
609,1.78E-09,5.87E-09,1.8263E-09,1.74091E-09,6.14022E-09,5.60152E-09
610,1.82E-09,5.99E-09,1.86127E-09,1.78349E-09,6.28519E-09,5.70311E-09
611,1.84E-09,6.02E-09,1.87748E-09,1.79359E-09,6.29351E-09,5.74032E-09
612,1.85E-09,6.04E-09,1.89571E-09,1.80171E-09,6.30236E-09,5.77702E-09
613,1.90E-09,6.19E-09,1.94584E-09,1.85413E-09,6.45435E-09,5.93073E-09
614,1.95E-09,6.35E-09,1.99624E-09,1.90663E-09,6.60693E-09,6.08468E-09
615,1.97E-09,6.40E-09,2.02524E-09,1.91141E-09,6.68187E-09,6.12077E-09
616,1.99E-09,6.46E-09,2.05531E-09,1.91519E-09,6.75771E-09,6.15607E-09
617,2.03E-09,6.56E-09,2.08516E-09,1.97275E-09,6.85736E-09,6.26178E-09
618,2.07E-09,6.66E-09,2.11538E-09,2.03022E-09,6.95731E-09,6.36755E-09
619,2.11E-09,6.81E-09,2.16188E-09,2.06176E-09,7.09819E-09,6.51444E-09
620,2.15E-09,6.95E-09,2.20875E-09,2.09316E-09,7.23966E-09,6.66148E-09
621,2.17E-09,6.98E-09,2.22455E-09,2.10821E-09,7.26737E-09,6.68409E-09
622,2.18E-09,7.00E-09,2.24063E-09,2.12302E-09,7.2951E-09,6.70671E-09
623,2.17E-09,7.03E-09,2.23285E-09,2.11374E-09,7.31924E-09,6.73743E-09
624,2.16E-09,7.06E-09,2.22516E-09,2.10438E-09,7.34345E-09,6.7681E-09
625,2.18E-09,7.06E-09,2.24439E-09,2.12328E-09,7.34832E-09,6.77404E-09
626,2.20E-09,7.07E-09,2.26459E-09,2.14128E-09,7.35319E-09,6.77997E-09
627,2.22E-09,7.10E-09,2.27416E-09,2.16335E-09,7.37538E-09,6.82055E-09
628,2.23E-09,7.13E-09,2.28401E-09,2.18518E-09,7.39802E-09,6.86072E-09
629,2.22E-09,7.11E-09,2.277E-09,2.17061E-09,7.3867E-09,6.82991E-09
630,2.21E-09,7.09E-09,2.27004E-09,2.156E-09,7.37587E-09,6.79863E-09
631,2.19E-09,6.97E-09,2.25105E-09,2.13856E-09,7.25155E-09,6.67873E-09
632,2.18E-09,6.84E-09,2.23275E-09,2.12049E-09,7.12752E-09,6.55904E-09
633,2.16E-09,6.85E-09,2.21543E-09,2.11382E-09,7.14047E-09,6.56573E-09
634,2.15E-09,6.86E-09,2.19926E-09,2.10603E-09,7.15345E-09,6.57239E-09
635,2.12E-09,6.73E-09,2.1652E-09,2.07234E-09,7.01675E-09,6.43432E-09
636,2.08E-09,6.59E-09,2.13129E-09,2.03863E-09,6.88051E-09,6.29647E-09
637,2.04E-09,6.43E-09,2.09118E-09,1.99844E-09,6.72784E-09,6.13031E-09
638,2.00E-09,6.27E-09,2.05191E-09,1.9576E-09,6.576E-09,5.96423E-09
639,1.99E-09,6.17E-09,2.04682E-09,1.9405E-09,6.44947E-09,5.89303E-09
640,1.98E-09,6.07E-09,2.04293E-09,1.92221E-09,6.32449E-09,5.82068E-09
641,1.93E-09,5.92E-09,1.98068E-09,1.8742E-09,6.15099E-09,5.68552E-09
642,1.87E-09,5.76E-09,1.91918E-09,1.82585E-09,5.97882E-09,5.54991E-09
643,1.84E-09,5.58E-09,1.88829E-09,1.79199E-09,5.81773E-09,5.34237E-09
644,1.81E-09,5.40E-09,1.85907E-09,1.75661E-09,5.66097E-09,5.13179E-09
645,1.76E-09,5.14E-09,1.80166E-09,1.70898E-09,5.37252E-09,4.90933E-09
646,1.70E-09,4.89E-09,1.74563E-09,1.66035E-09,5.0869E-09,4.68651E-09
647,1.67E-09,4.76E-09,1.71185E-09,1.63724E-09,4.96049E-09,4.55245E-09
648,1.65E-09,4.63E-09,1.68067E-09,1.61167E-09,4.83474E-09,4.41836E-09
649,1.60E-09,4.48E-09,1.62613E-09,1.56635E-09,4.6772E-09,4.27549E-09
650,1.55E-09,4.33E-09,1.57346E-09,1.51953E-09,4.52013E-09,4.13301E-09
651,1.53E-09,4.21E-09,1.55879E-09,1.49978E-09,4.40568E-09,4.00534E-09
652,1.51E-09,4.08E-09,1.5442E-09,1.48E-09,4.29194E-09,3.87754E-09
653,1.49E-09,4.00E-09,1.52195E-09,1.45466E-09,4.19275E-09,3.80341E-09
654,1.46E-09,3.91E-09,1.49997E-09,1.42914E-09,4.09394E-09,3.72921E-09
655,1.47E-09,3.84E-09,1.49927E-09,1.44496E-09,4.00366E-09,3.67365E-09
656,1.48E-09,3.77E-09,1.50083E-09,1.45854E-09,3.91447E-09,3.61722E-09
657,1.48E-09,3.79E-09,1.50793E-09,1.45444E-09,3.96281E-09,3.614E-09
658,1.48E-09,3.81E-09,1.5175E-09,1.44786E-09,4.01375E-09,3.60824E-09
659,1.50E-09,3.83E-09,1.53535E-09,1.47224E-09,4.01332E-09,3.65129E-09
660,1.52E-09,3.85E-09,1.55492E-09,1.49498E-09,4.01447E-09,3.6928E-09
661,1.56E-09,3.93E-09,1.58397E-09,1.53022E-09,4.11068E-09,3.75175E-09
662,1.59E-09,4.01E-09,1.61477E-09,1.56386E-09,4.20796E-09,3.80988E-09
663,1.62E-09,4.08E-09,1.64866E-09,1.59344E-09,4.27508E-09,3.88085E-09
